"Species","IslandGroup","DemClass","Month","MonthLength","Device","Age","BreedStage","IdealDist","NumDays","HalfOnNest","RepAge","RepBreedStage","value"
"Amsterdam Albatross","Amsterdam and St Paul","beta",1,31,"GPSorPTT","adult","post-brood","PB",22,FALSE,"adult","chick-rearing",31.72
"Amsterdam Albatross","Amsterdam and St Paul","beta",1,31,"GLS","adult","non-breeding","NB_Q1",9,FALSE,"adult","non-breeding_Q1",31.72
"Amsterdam Albatross","Amsterdam and St Paul","beta",2,28,"GLS","adult","non-breeding","NB_Q1",2,FALSE,"adult","non-breeding_Q1",31.72
"Amsterdam Albatross","Amsterdam and St Paul","beta",2,28,"GPSorPTT","adult","pre-laying","PRE-L",25,TRUE,"adult","incubation",31.72
"Amsterdam Albatross","Amsterdam and St Paul","beta",2,28,"GPSorPTT","adult","incubation","INC",1,TRUE,"adult","incubation",31.72
"Amsterdam Albatross","Amsterdam and St Paul","beta",3,31,"GPSorPTT","adult","incubation","INC",31,TRUE,"adult","incubation",31.72
"Amsterdam Albatross","Amsterdam and St Paul","beta",4,30,"GPSorPTT","adult","incubation","INC",30,TRUE,"adult","incubation",31.72
"Amsterdam Albatross","Amsterdam and St Paul","beta",5,31,"GPSorPTT","adult","incubation","INC",17,TRUE,"adult","incubation",31.72
"Amsterdam Albatross","Amsterdam and St Paul","beta",5,31,"GPSorPTT","adult","brood-guard","BR",14,TRUE,"adult","brood-guard",31.72
"Amsterdam Albatross","Amsterdam and St Paul","beta",6,30,"GPSorPTT","adult","brood-guard","BR",13,TRUE,"adult","brood-guard",31.72
"Amsterdam Albatross","Amsterdam and St Paul","beta",6,30,"GPSorPTT","adult","post-brood","PB",17,FALSE,"adult","chick-rearing",31.72
"Amsterdam Albatross","Amsterdam and St Paul","beta",7,31,"GPSorPTT","adult","post-brood","PB",31,FALSE,"adult","chick-rearing",31.72
"Amsterdam Albatross","Amsterdam and St Paul","beta",8,31,"GPSorPTT","adult","post-brood","PB",31,FALSE,"adult","chick-rearing",31.72
"Amsterdam Albatross","Amsterdam and St Paul","beta",9,30,"GPSorPTT","adult","post-brood","PB",30,FALSE,"adult","chick-rearing",31.72
"Amsterdam Albatross","Amsterdam and St Paul","beta",10,31,"GPSorPTT","adult","post-brood","PB",31,FALSE,"adult","chick-rearing",31.72
"Amsterdam Albatross","Amsterdam and St Paul","beta",11,30,"GPSorPTT","adult","post-brood","PB",30,FALSE,"adult","chick-rearing",31.72
"Amsterdam Albatross","Amsterdam and St Paul","beta",12,31,"GPSorPTT","adult","post-brood","PB",31,FALSE,"adult","chick-rearing",31.72
"Amsterdam Albatross","Amsterdam and St Paul","delta",1,31,"GLS","adult","non-breeding","NB_Q1",31,FALSE,"adult","non-breeding_Q1",38.6149880110053
"Amsterdam Albatross","Amsterdam and St Paul","delta",2,28,"GLS","adult","non-breeding","NB_Q1",28,FALSE,"adult","non-breeding_Q1",38.6149880110053
"Amsterdam Albatross","Amsterdam and St Paul","delta",3,31,"GLS","adult","non-breeding","NB_Q1",31,FALSE,"adult","non-breeding_Q1",38.6149880110053
"Amsterdam Albatross","Amsterdam and St Paul","delta",4,30,"GLS","adult","non-breeding","NB_Q2",30,FALSE,"adult","non-breeding_Q2",38.6149880110053
"Amsterdam Albatross","Amsterdam and St Paul","delta",5,31,"GLS","adult","non-breeding","NB_Q2",31,FALSE,"adult","non-breeding_Q2",38.6149880110053
"Amsterdam Albatross","Amsterdam and St Paul","delta",6,30,"GLS","adult","non-breeding","NB_Q2",30,FALSE,"adult","non-breeding_Q2",38.6149880110053
"Amsterdam Albatross","Amsterdam and St Paul","delta",7,31,"GLS","adult","non-breeding","NB_Q3",31,FALSE,"adult","non-breeding_Q3",38.6149880110053
"Amsterdam Albatross","Amsterdam and St Paul","delta",8,31,"GLS","adult","non-breeding","NB_Q3",31,FALSE,"adult","non-breeding_Q3",38.6149880110053
"Amsterdam Albatross","Amsterdam and St Paul","delta",9,30,"GLS","adult","non-breeding","NB_Q3",30,FALSE,"adult","non-breeding_Q3",38.6149880110053
"Amsterdam Albatross","Amsterdam and St Paul","delta",10,31,"GLS","adult","non-breeding","NB_Q4",31,FALSE,"adult","non-breeding_Q4",38.6149880110053
"Amsterdam Albatross","Amsterdam and St Paul","delta",11,30,"GLS","adult","non-breeding","NB_Q4",30,FALSE,"adult","non-breeding_Q4",38.6149880110053
"Amsterdam Albatross","Amsterdam and St Paul","delta",12,31,"GLS","adult","non-breeding","NB_Q4",31,FALSE,"adult","non-breeding_Q4",38.6149880110053
"Amsterdam Albatross","Amsterdam and St Paul","gamma",1,31,"GLS","adult","non-breeding","NB_Q1",31,FALSE,"adult","non-breeding_Q1",20.28
"Amsterdam Albatross","Amsterdam and St Paul","gamma",2,28,"GLS","adult","non-breeding","NB_Q1",2,FALSE,"adult","non-breeding_Q1",20.28
"Amsterdam Albatross","Amsterdam and St Paul","gamma",2,28,"GPSorPTT","adult","pre-laying","PRE-L",25,TRUE,"adult","incubation",20.28
"Amsterdam Albatross","Amsterdam and St Paul","gamma",2,28,"GPSorPTT","adult","incubation","INC",1,TRUE,"adult","incubation",20.28
"Amsterdam Albatross","Amsterdam and St Paul","gamma",3,31,"GPSorPTT","adult","incubation","INC",31,TRUE,"adult","incubation",20.28
"Amsterdam Albatross","Amsterdam and St Paul","gamma",4,30,"GPSorPTT","adult","incubation","INC",30,TRUE,"adult","incubation",20.28
"Amsterdam Albatross","Amsterdam and St Paul","gamma",5,31,"GPSorPTT","adult","incubation","INC",17,TRUE,"adult","incubation",20.28
"Amsterdam Albatross","Amsterdam and St Paul","gamma",5,31,"GPSorPTT","adult","brood-guard","BR",14,TRUE,"adult","brood-guard",20.28
"Amsterdam Albatross","Amsterdam and St Paul","gamma",6,30,"GPSorPTT","adult","brood-guard","BR",13,TRUE,"adult","brood-guard",20.28
"Amsterdam Albatross","Amsterdam and St Paul","gamma",6,30,"GPSorPTT","adult","post-brood","PB",17,FALSE,"adult","chick-rearing",20.28
"Amsterdam Albatross","Amsterdam and St Paul","gamma",7,31,"GPSorPTT","adult","post-brood","PB",31,FALSE,"adult","chick-rearing",20.28
"Amsterdam Albatross","Amsterdam and St Paul","gamma",8,31,"GPSorPTT","adult","post-brood","PB",10,FALSE,"adult","chick-rearing",20.28
"Amsterdam Albatross","Amsterdam and St Paul","gamma",8,31,"GLS","adult","non-breeding","NB_Q3",21,FALSE,"adult","non-breeding_Q3",20.28
"Amsterdam Albatross","Amsterdam and St Paul","gamma",9,30,"GLS","adult","non-breeding","NB_Q3",30,FALSE,"adult","non-breeding_Q3",20.28
"Amsterdam Albatross","Amsterdam and St Paul","gamma",10,31,"GLS","adult","non-breeding","NB_Q4",31,FALSE,"adult","non-breeding_Q4",20.28
"Amsterdam Albatross","Amsterdam and St Paul","gamma",11,30,"GLS","adult","non-breeding","NB_Q4",30,FALSE,"adult","non-breeding_Q4",20.28
"Amsterdam Albatross","Amsterdam and St Paul","gamma",12,31,"GLS","adult","non-breeding","NB_Q4",31,FALSE,"adult","non-breeding_Q4",20.28
"Amsterdam Albatross","Amsterdam and St Paul","theta",1,31,"GLS","immature","non-breeding","IMM_Q4_Q1",31,FALSE,"adult_immature","non-breeding_Q1",63.2019945339927
"Amsterdam Albatross","Amsterdam and St Paul","theta",2,28,"GLS","immature","non-breeding","IMM_Q4_Q1",28,FALSE,"adult_immature","non-breeding_Q1",63.2019945339927
"Amsterdam Albatross","Amsterdam and St Paul","theta",3,31,"GLS","immature","non-breeding","IMM_Q4_Q1",31,FALSE,"adult_immature","non-breeding_Q1",63.2019945339927
"Amsterdam Albatross","Amsterdam and St Paul","theta",4,30,"GLS","immature","non-breeding","IMM_Q2_Q3",30,FALSE,"adult_immature","non-breeding_Q2",63.2019945339927
"Amsterdam Albatross","Amsterdam and St Paul","theta",5,31,"GLS","immature","non-breeding","IMM_Q2_Q3",31,FALSE,"adult_immature","non-breeding_Q2",63.2019945339927
"Amsterdam Albatross","Amsterdam and St Paul","theta",6,30,"GLS","immature","non-breeding","IMM_Q2_Q3",30,FALSE,"adult_immature","non-breeding_Q2",63.2019945339927
"Amsterdam Albatross","Amsterdam and St Paul","theta",7,31,"GLS","immature","non-breeding","IMM_Q2_Q3",31,FALSE,"adult_immature","non-breeding_Q3",63.2019945339927
"Amsterdam Albatross","Amsterdam and St Paul","theta",8,31,"GLS","immature","non-breeding","IMM_Q2_Q3",31,FALSE,"adult_immature","non-breeding_Q3",63.2019945339927
"Amsterdam Albatross","Amsterdam and St Paul","theta",9,30,"GLS","immature","non-breeding","IMM_Q2_Q3",30,FALSE,"adult_immature","non-breeding_Q3",63.2019945339927
"Amsterdam Albatross","Amsterdam and St Paul","theta",10,31,"GLS","immature","non-breeding","IMM_Q4_Q1",31,FALSE,"adult_immature","non-breeding_Q4",63.2019945339927
"Amsterdam Albatross","Amsterdam and St Paul","theta",11,30,"GLS","immature","non-breeding","IMM_Q4_Q1",30,FALSE,"adult_immature","non-breeding_Q4",63.2019945339927
"Amsterdam Albatross","Amsterdam and St Paul","theta",12,31,"GLS","immature","non-breeding","IMM_Q4_Q1",31,FALSE,"adult_immature","non-breeding_Q4",63.2019945339927
"Amsterdam Albatross","Amsterdam and St Paul","zeta",1,31,"GPSorPTT","juvenile","non-breeding","JUV_Q4_Q1",31,FALSE,"juvenile","non-breeding_Q4_Q1",14.9673802778836
"Amsterdam Albatross","Amsterdam and St Paul","zeta",2,28,"GPSorPTT","juvenile","non-breeding","JUV_Q4_Q1",28,FALSE,"juvenile","non-breeding_Q4_Q1",14.9673802778836
